rule,direction,selected,changed,rationale,route,extra
oof_supported_rescue_01,FT,5,5,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '0-5', 'SurnameRateBin': '.5-.75'}"
oof_supported_rescue_02,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.45-.50', 'StdBand': '.02-.04', 'SpendTypesBin': '0'}"
oof_supported_rescue_03,FT,2,2,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.50-.55', 'CatBand': '.50-.55'}"
oof_supported_rescue_04,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'EtBand': '.35-.45', 'StdBand': '.02-.04', 'SurnameRateBin': '0'}"
oof_supported_rescue_05,FT,2,2,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'SpendBin': '700-999', 'EtBand': '.45-.50'}"
oof_supported_rescue_06,TF,2,2,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.55-.62', 'XgbBand': '.62-.72', 'GroupRateBin': '1'}"
oof_supported_rescue_07,FT,2,2,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'EtBand': '.15-.25', 'SurnameSizeBin': '2', 'CabinRegion': '101-300'}"
oof_supported_rescue_08,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.45-.50', 'EtBand': '.45-.50', 'StdBand': '.02-.04'}"
oof_supported_rescue_09,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.36-.43', 'GroupSizeBin': '6-10', 'SurnameSizeBin': '3-4'}"
oof_supported_rescue_10,TF,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.55-.62', 'CatBand': '.62-.72', 'RangeBand': '.10-.16'}"
oof_supported_rescue_11,TF,2,2,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Europa', 'Deck': 'C', 'Side': 'P'}","{'XgbBand': '.45-.50', 'CabinRegion': '101-300'}"
oof_supported_rescue_12,FT,2,2,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'StdBand': '<=.02', 'SpendTypesBin': '5'}"
oof_supported_rescue_13,TF,2,2,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': '55 Cancri e'}","{'SurnameSizeBin': '5-8', 'VotesBin': '3'}"
oof_supported_rescue_14,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'SpendBin': '1000-1499', 'CabinRegion': '701-1100', 'CabinMicro': '801-1100'}"
oof_supported_rescue_15,TF,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.28-.36', 'GroupSizeBin': '1', 'VotesBin': '0'}"
oof_supported_rescue_16,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.57-.64', 'LgbBand': '.55-.62', 'SpendTypesBin': '3'}"
oof_supported_rescue_17,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '6-12', 'CatBand': '.35-.45', 'GroupSizeBin': '3'}"
oof_supported_rescue_18,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.36-.43', 'LgbBand': '.35-.45', 'SpendTypesBin': '3'}"
oof_supported_rescue_19,TF,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'SpendBin': '700-999', 'LgbBand': '.35-.45', 'SurnameSizeBin': '5-8'}"
oof_supported_rescue_20,TF,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.50-.57', 'GroupSizeBin': '2'}"
oof_supported_rescue_21,TF,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'Deck': 'G', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'HgbBand': '.35-.45', 'XgbBand': '.45-.50', 'GroupRateBin': '1'}"
oof_supported_rescue_22,TF,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'RangeBand': '.16-.24', 'GroupRateBin': '0', 'SpendTypesBin': '3'}"
oof_supported_rescue_23,TF,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'F', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AgeBin': '18-25', 'GroupSizeBin': '1', 'VotesBin': '3'}"
oof_supported_rescue_24,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Earth', 'CryoSleep': 'False', 'Deck': 'G', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'XgbBand': '.35-.45', 'SpendTypesBin': '2', 'CabinRegion': '701-1100'}"
oof_supported_rescue_25,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Mars', 'Deck': 'E', 'Side': 'P', 'Destination': 'TRAPPIST-1e'}","{'AnchorBand': '.18-.28', 'GroupRateBin': '0', 'SurnameRateBin': '.5-.75'}"
oof_supported_rescue_26,FT,1,1,OOF-supported residual pocket: route/family/model-disagreement features showed the same error direction in OOF.,"{'HomePlanet': 'Europa', 'Deck': 'C', 'Side': 'S', 'Destination': 'TRAPPIST-1e'}","{'SpendBin': '1500-2999', 'EtBand': '.25-.35'}"
